,remote_ip,http_referer,hostname,timestamp,bytes_sent,request_time,request_status,city,country,lat,long,http_operation,http_url,protocol,browser,os,device,aux_kodi_type,aux_kodi_item
2021-05-02 18:46:15+01:00,192.168.0.1,-,www.vivc.org,2021-05-02 18:46:15+01:00,9666,0.079,200,,,,,GET,/,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/,www.vivc.org,2021-05-02 18:46:16+01:00,159515,0.0,200,,,,,GET,/static/account/styles/bootstrap.min.css,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/,www.vivc.org,2021-05-02 18:46:16+01:00,255165,0.017,200,,,,,GET,/static/account/styles/materialdesignicons.min.css,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/,www.vivc.org,2021-05-02 18:46:16+01:00,86927,0.0,200,,,,,GET,/static/account/scripts/jquery-3.3.1.min.js,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/,www.vivc.org,2021-05-02 18:46:16+01:00,80698,0.0,200,,,,,GET,/static/account/scripts/bootstrap.bundle.min.js,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/static/account/styles/materialdesignicons.min.css,www.vivc.org,2021-05-02 18:46:16+01:00,303580,0.011,200,,,,,GET,/static/account/fonts/materialdesignicons-webfont.woff2?v=5.5.55,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:16+01:00,192.168.0.1,https://www.vivc.org/,www.vivc.org,2021-05-02 18:46:16+01:00,260442,0.311,200,,,,,GET,/static/account/imgs/wreckdwarf.png,HTTP/2.0,Chrome,Mac OS X,Mac,,
2021-05-02 18:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 18:46:33+01:00,0,0.018,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 19:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 19:01:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 19:15:05+01:00,42.236.10.103,https://www.vivc.org/,www.vivc.org,2021-05-02 19:15:05+01:00,5124,0.056,200,luohe shi,China,,,GET,/,HTTP/1.1,360Spider,Windows,Spider,,
2021-05-02 19:16:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 19:16:33+01:00,0,0.093,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 19:31:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 19:31:33+01:00,0,0.037,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 19:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 19:46:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 20:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 20:01:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
